id,URL,Title,Created,Updated,Credits,Attributions,Tags_no,Packs_no,Ratings,Attributed_by,Rated_by,File_name,File_type,Description,Download_url,Uploader_url,Uploader,License,Creditor,Creditor_url,Tags_url,Tags,Packs,Pack_url,Stats_url,Total_v,Total_d,Myexp_v,Myexp_v_m,Myexp_v_a,Myexp_d,Myexp_d_m,Myexp_d_a,Ext_v,Ext_d,Timestamp
,http://www.myexperiment.org/files/44,File Entry: GetVbidasGenomeInfo.xml, 13/07/08 @ 09:39:10,,1,0,1,1,0,0,0,GetVbidasGenomeInfo.xml,XML,<p class=none_text>Not set</p>,http://www.myexperiment.org/files/44/download/GetVbidasGenomeInfo.xml,http://www.myexperiment.org/users/61,Antoon Goderis,"<p>This File islicensed under: <br /><br /><a rel=Copyright"" href=""http://www.myexperiment.org/licenses/2"" title=""Creative Commons Attribution-Share Alike 3.0 Unported License""><img src=""/images/by-sa.png"" /></a></p>""",Peter Li,http://www.myexperiment.org/users/221,"http://www.myexperiment.org/tags/880, ","benchmarks, ",Peter Li workflows for benchmarks PR and CA2 ,http://www.myexperiment.org/packs/12,http://www.myexperiment.org/files/44/statistics,176,142,11,1,10,8,0,8,165,134,51:16.6
,http://www.myexperiment.org/files/126,File Entry: Version 0.0.3 of RSim, 24/08/08 @ 16:11:28,,1,0,0,0,0,0,0,RSim08-08-24_v0.0.3.txt,Plain text,<div class=contribution_description><p>&nbsp;</p><p style=margin: 0.0px 0.0px 0.0px 0.0px; font: 13.0px Arial; min-height: 15.0px>&nbsp;</p><p style=margin: 0.0px 0.0px 0.0px 0.0px; font: 12.0px Arial>&nbsp;Dataframe design is not database design yet it is. Thus is the zen when we set out to initialise variables in statistical software.</p></div>,http://www.myexperiment.org/files/126/download/RSim08-08-24_v0.0.3.txt,http://www.myexperiment.org/users/1112,Ptimusk,"<p>This File islicensed under: <br /><br /><a rel=Copyright"" href=""http://www.myexperiment.org/licenses/2"" title=""Creative Commons Attribution-Share Alike 3.0 Unported License""><img src=""/images/by-sa.png"" /></a></p>""",Ptimusk,http://www.myexperiment.org/users/1112,"http://www.myexperiment.org/tags/880, http://www.myexperiment.org/tags/1139, http://www.myexperiment.org/tags/39, http://www.myexperiment.org/tags/49, http://www.myexperiment.org/tags/1064, http://www.myexperiment.org/tags/687, http://www.myexperiment.org/tags/138, http://www.myexperiment.org/tags/555, http://www.myexperiment.org/tags/178, http://www.myexperiment.org/tags/1158, http://www.myexperiment.org/tags/2007, http://www.myexperiment.org/tags/2996, http://www.myexperiment.org/tags/275, http://www.myexperiment.org/tags/935, http://www.myexperiment.org/tags/662, http://www.myexperiment.org/tags/1122, http://www.myexperiment.org/tags/366, http://www.myexperiment.org/tags/368, http://www.myexperiment.org/tags/377, http://www.myexperiment.org/tags/402, http://www.myexperiment.org/tags/409, http://www.myexperiment.org/tags/455, http://www.myexperiment.org/tags/663, http://www.myexperiment.org/tags/498, http://www.myexperiment.org/tags/554, ","benchmarks, bio2rdf, bioinformatics, BLAST, cheminformatics, data integration, ebi, example, gene, graph, impact, ist600, kegg, localworker, mygrid, ondex, pathway, pathways, phenotype, protein, pubmed, sequence, taverna, text mining, workflow, ",Log in,http://www.myexperiment.org/session/new,http://www.myexperiment.org/files/126/statistics,74,43,8,2,6,4,0,4,66,39,51:20.0
,http://www.myexperiment.org/files/205,File Entry: Word file for myExperiment CCPE paper, 10/04/09 @ 13:40:18,21/04/09 @ 15:01:57,1,0,0,1,0,0,0,CCPE09v8.doc,Word document,<div class=contribution_description><p>Note this is not in any aprticular CCPE template as they only provide a LaTeX template</p></div>,http://www.myexperiment.org/files/205/download/CCPE09v8.doc,http://www.myexperiment.org/users/16,David De Roure,"<p>This File islicensed under: <br /><br /><a rel=Copyright"" href=""http://www.myexperiment.org/licenses/2"" title=""Creative Commons Attribution-Share Alike 3.0 Unported License""><img src=""/images/by-sa.png"" /></a></p>""",CCPE eScience 2008 special issue myExperiment paper co-authors,http://www.myexperiment.org/groups/156,"http://www.myexperiment.org/tags/880, http://www.myexperiment.org/tags/1139, http://www.myexperiment.org/tags/39, http://www.myexperiment.org/tags/49, http://www.myexperiment.org/tags/1064, http://www.myexperiment.org/tags/687, http://www.myexperiment.org/tags/138, http://www.myexperiment.org/tags/555, http://www.myexperiment.org/tags/178, http://www.myexperiment.org/tags/1158, http://www.myexperiment.org/tags/2007, http://www.myexperiment.org/tags/2996, http://www.myexperiment.org/tags/275, http://www.myexperiment.org/tags/935, http://www.myexperiment.org/tags/662, http://www.myexperiment.org/tags/1122, http://www.myexperiment.org/tags/366, http://www.myexperiment.org/tags/368, http://www.myexperiment.org/tags/377, http://www.myexperiment.org/tags/402, http://www.myexperiment.org/tags/409, http://www.myexperiment.org/tags/455, http://www.myexperiment.org/tags/663, http://www.myexperiment.org/tags/498, http://www.myexperiment.org/tags/554, ","benchmarks, bio2rdf, bioinformatics, BLAST, cheminformatics, data integration, ebi, example, gene, graph, impact, ist600, kegg, localworker, mygrid, ondex, pathway, pathways, phenotype, protein, pubmed, sequence, taverna, text mining, workflow, ",myExperiment paper for Concurrency Practice and Experience eScience 2008 Special Issue,http://www.myexperiment.org/packs/56,http://www.myexperiment.org/files/205/statistics,273,166,25,6,19,22,4,18,248,144,51:23.3
,http://www.myexperiment.org/files/376,File Entry: ps, 26/03/10 @ 15:17:43,,1,0,0,0,0,0,0,probabilities in games of tennis1.doc,Word document,<p class=none_text>Not set</p>,http://www.myexperiment.org/files/376/download/probabilities+in+games+of+tennis1.doc,http://www.myexperiment.org/users/7892,Andrey,"<p>This File islicensed under: <br /><br /><a rel=Copyright"" href=""http://www.myexperiment.org/licenses/2"" title=""Creative Commons Attribution-Share Alike 3.0 Unported License""><img src=""/images/by-sa.png"" /></a></p>""",Andrey,http://www.myexperiment.org/users/7892,"http://www.myexperiment.org/tags/880, http://www.myexperiment.org/tags/1139, http://www.myexperiment.org/tags/39, http://www.myexperiment.org/tags/49, http://www.myexperiment.org/tags/1064, http://www.myexperiment.org/tags/687, http://www.myexperiment.org/tags/138, http://www.myexperiment.org/tags/555, http://www.myexperiment.org/tags/178, http://www.myexperiment.org/tags/1158, http://www.myexperiment.org/tags/2007, http://www.myexperiment.org/tags/2996, http://www.myexperiment.org/tags/275, http://www.myexperiment.org/tags/935, http://www.myexperiment.org/tags/662, http://www.myexperiment.org/tags/1122, http://www.myexperiment.org/tags/366, http://www.myexperiment.org/tags/368, http://www.myexperiment.org/tags/377, http://www.myexperiment.org/tags/402, http://www.myexperiment.org/tags/409, http://www.myexperiment.org/tags/455, http://www.myexperiment.org/tags/663, http://www.myexperiment.org/tags/498, http://www.myexperiment.org/tags/554, ","benchmarks, bio2rdf, bioinformatics, BLAST, cheminformatics, data integration, ebi, example, gene, graph, impact, ist600, kegg, localworker, mygrid, ondex, pathway, pathways, phenotype, protein, pubmed, sequence, taverna, text mining, workflow, ",Log in,http://www.myexperiment.org/session/new,http://www.myexperiment.org/files/376/statistics,118,101,5,1,4,6,0,6,113,95,51:26.6
,http://www.myexperiment.org/files/455,File Entry: Trichuriasis Induced Colitis, 16/02/11 @ 15:16:17,16/02/11 @ 15:16:24,1,4,10,1,0,0,0,Trichuriasis_induced_colitis_workflow_results_2010.zip,Trident (Package),<div class=contribution_description><p>This zip file contains the results of workflow runs for: identifying genes in each of the 7 QTL regions for Trichuris muris infection; identifying genes differentially expressed in mice challenged with Trichuris muris; and Text mining results (including cosine vector scores and Term Enrichment values).</p></div>,http://www.myexperiment.org/files/455/download/Trichuriasis_induced_colitis_workflow_results_2010.zip,http://www.myexperiment.org/users/43,Paul Fisher,"<p>This File islicensed under: <br /><br /><a rel=Copyright"" href=""http://www.myexperiment.org/licenses/2"" title=""Creative Commons Attribution-Share Alike 3.0 Unported License""><img src=""/images/by-sa.png"" /></a></p>""",Paul Fisher,http://www.myexperiment.org/users/43,"http://www.myexperiment.org/tags/181, http://www.myexperiment.org/tags/214, http://www.myexperiment.org/tags/276, http://www.myexperiment.org/tags/305, http://www.myexperiment.org/tags/573, http://www.myexperiment.org/tags/377, http://www.myexperiment.org/tags/409, http://www.myexperiment.org/tags/412, http://www.myexperiment.org/tags/1343, http://www.myexperiment.org/tags/581, ","gene expression, genotype, Kegg Pathways, microarray, pathway-driven, phenotype, pubmed, qtl, trait, trichuris muris, ",Trichuriasis induced Colitis,http://www.myexperiment.org/packs/169,http://www.myexperiment.org/files/455/statistics,21,12,6,0,6,5,0,5,15,7,51:30.0
,http://www.myexperiment.org/files/139,File Entry: Workflow re-use and discovery in bioinformatics, 03/10/08 @ 16:34:45,,1,0,0,1,0,0,0,Documents,Adobe PDF,"<div class=contribution_description><p>Antoon Goderis, PhD thesis, University of Manchester, 2008.</p></div>",http://www.myexperiment.org/files/139/download/Documents,http://www.myexperiment.org/users/61,Antoon Goderis,"<p>This File islicensed under: <br /><br /><a rel=Copyright"" href=""http://www.myexperiment.org/licenses/1"" title=""Creative Commons Attribution-No Derivative Works 3.0 Unported License""><img src=""/images/by-nd.png"" /></a></p>""",Antoon Goderis,http://www.myexperiment.org/users/61,"http://www.myexperiment.org/tags/880, http://www.myexperiment.org/tags/1139, http://www.myexperiment.org/tags/39, http://www.myexperiment.org/tags/49, http://www.myexperiment.org/tags/1064, http://www.myexperiment.org/tags/687, http://www.myexperiment.org/tags/138, http://www.myexperiment.org/tags/555, http://www.myexperiment.org/tags/178, http://www.myexperiment.org/tags/1158, http://www.myexperiment.org/tags/2007, http://www.myexperiment.org/tags/2996, http://www.myexperiment.org/tags/275, http://www.myexperiment.org/tags/935, http://www.myexperiment.org/tags/662, http://www.myexperiment.org/tags/1122, http://www.myexperiment.org/tags/366, http://www.myexperiment.org/tags/368, http://www.myexperiment.org/tags/377, http://www.myexperiment.org/tags/402, http://www.myexperiment.org/tags/409, http://www.myexperiment.org/tags/455, http://www.myexperiment.org/tags/663, http://www.myexperiment.org/tags/498, http://www.myexperiment.org/tags/554, ","benchmarks, bio2rdf, bioinformatics, BLAST, cheminformatics, data integration, ebi, example, gene, graph, impact, ist600, kegg, localworker, mygrid, ondex, pathway, pathways, phenotype, protein, pubmed, sequence, taverna, text mining, workflow, ",Workflow discovery benchmarks,http://www.myexperiment.org/packs/10,http://www.myexperiment.org/files/139/statistics,470,807,62,22,40,235,16,219,408,572,51:34.3
,http://www.myexperiment.org/files/588,File Entry: INSD.mod.dtd, 06/10/11 @ 03:49:45,06/10/11 @ 04:06:07,1,0,0,1,0,0,0,INSD_INSDSeq.mod.dtd,Trident (Package),<div class=contribution_description><p>This file is required for converting the GenBank gbk file into an XML.</p><p>This file needs to be save to Taverna folder:</p><p>(Default location on Mac): /Applications/Taverna 2.3.0.app/Contents/Resources/Java</p></div>,http://www.myexperiment.org/files/588/download/INSD_INSDSeq.mod.dtd,http://www.myexperiment.org/users/18930,Mutanthumb,"<p>This File islicensed under: <br /><br /><a rel=Copyright"" href=""http://www.myexperiment.org/licenses/2"" title=""Creative Commons Attribution-Share Alike 3.0 Unported License""><img src=""/images/by-sa.png"" /></a></p>""",Mutanthumb,http://www.myexperiment.org/users/18930,"http://www.myexperiment.org/tags/880, http://www.myexperiment.org/tags/1139, http://www.myexperiment.org/tags/39, http://www.myexperiment.org/tags/49, http://www.myexperiment.org/tags/1064, http://www.myexperiment.org/tags/687, http://www.myexperiment.org/tags/138, http://www.myexperiment.org/tags/555, http://www.myexperiment.org/tags/178, http://www.myexperiment.org/tags/1158, http://www.myexperiment.org/tags/2007, http://www.myexperiment.org/tags/2996, http://www.myexperiment.org/tags/275, http://www.myexperiment.org/tags/935, http://www.myexperiment.org/tags/662, http://www.myexperiment.org/tags/1122, http://www.myexperiment.org/tags/366, http://www.myexperiment.org/tags/368, http://www.myexperiment.org/tags/377, http://www.myexperiment.org/tags/402, http://www.myexperiment.org/tags/409, http://www.myexperiment.org/tags/455, http://www.myexperiment.org/tags/663, http://www.myexperiment.org/tags/498, http://www.myexperiment.org/tags/554, ","benchmarks, bio2rdf, bioinformatics, BLAST, cheminformatics, data integration, ebi, example, gene, graph, impact, ist600, kegg, localworker, mygrid, ondex, pathway, pathways, phenotype, protein, pubmed, sequence, taverna, text mining, workflow, ",Get Element ID from gzipped GenBank file,http://www.myexperiment.org/packs/220,http://www.myexperiment.org/files/588/statistics,2,1,0,0,0,0,0,0,2,1,51:37.5
,http://www.myexperiment.org/files/585,"File Entry: &quot;Elevation plot...&quot; workflow, expanded view", 06/10/11 @ 03:29:43,06/10/11 @ 03:29:52,1,0,13,1,0,0,0,workflow expanded.jpg,JPEG image,"<div class=contribution_description><p>this screenshot shows the entire workflow, with nested workflows expanded</p><p></p></div>",http://www.myexperiment.org/files/585/download/workflow+expanded.jpg,http://www.myexperiment.org/users/18931,Chrisser,"<p>This File islicensed under: <br /><br /><a rel=Copyright"" href=""http://www.myexperiment.org/licenses/3"" title=""Creative Commons Attribution 3.0 Unported License""><img src=""/images/by.png"" /></a></p>""",Chrisser,http://www.myexperiment.org/users/18931,"http://www.myexperiment.org/tags/379, http://www.myexperiment.org/tags/3052, http://www.myexperiment.org/tags/3051, http://www.myexperiment.org/tags/956, http://www.myexperiment.org/tags/3054, http://www.myexperiment.org/tags/3009, http://www.myexperiment.org/tags/3050, http://www.myexperiment.org/tags/674, http://www.myexperiment.org/tags/577, http://www.myexperiment.org/tags/3010, http://www.myexperiment.org/tags/3049, http://www.myexperiment.org/tags/554, http://www.myexperiment.org/tags/2026, ","photo, regex, regular_expressions, rest, rest service, string_constant, string_wrangling, weather, web services, web_retrieval, web_services, workflow, wsdl, ",Find elevation given city and country names,http://www.myexperiment.org/packs/219,http://www.myexperiment.org/files/585/statistics,2,3,1,1,0,1,1,0,1,2,51:41.2
,http://www.myexperiment.org/files/468,File Entry: Simulation results, 23/03/11 @ 09:52:21,23/03/11 @ 09:52:24,1,0,3,0,0,0,0,file,Trident (Package),<div class=contribution_description><p>Results from the circle drawing functions RTL simulation.</p></div>,http://www.myexperiment.org/files/468/download/file,http://www.myexperiment.org/users/11554,John Brookes,"<p>This File islicensed under: <br /><br /><a rel=Copyright"" href=""http://www.myexperiment.org/licenses/2"" title=""Creative Commons Attribution-Share Alike 3.0 Unported License""><img src=""/images/by-sa.png"" /></a></p>""",John Brookes,http://www.myexperiment.org/users/11554,"http://www.myexperiment.org/tags/2383, http://www.myexperiment.org/tags/2385, http://www.myexperiment.org/tags/2384, ","comp32212, rtl, simulation, ",Log in,http://www.myexperiment.org/session/new,http://www.myexperiment.org/files/468/statistics,10,227,4,0,4,2,0,2,6,225,51:44.5
,http://www.myexperiment.org/files/404,File Entry: OPM graph in RDF format for PC1_B workflow with sameAs statements, 25/06/10 @ 01:10:59,,1,0,0,1,0,0,0,OPMgraph_PC1_B.rdf.uploaded_.rdf,RDF data,"<div class=contribution_description><p>this version of the OPM graph includes URLs to each of the data files, which have been uploaded to an ftp server so they can be shared.</p></div>",http://www.myexperiment.org/files/404/download/OPMgraph_PC1_B.rdf.uploaded_.rdf,http://www.myexperiment.org/users/500,Paolo,"<p>This File islicensed under: <br /><br /><a rel=Copyright"" href=""http://www.myexperiment.org/licenses/2"" title=""Creative Commons Attribution-Share Alike 3.0 Unported License""><img src=""/images/by-sa.png"" /></a></p>""",Paolo,http://www.myexperiment.org/users/500,"http://www.myexperiment.org/tags/880, http://www.myexperiment.org/tags/1139, http://www.myexperiment.org/tags/39, http://www.myexperiment.org/tags/49, http://www.myexperiment.org/tags/1064, http://www.myexperiment.org/tags/687, http://www.myexperiment.org/tags/138, http://www.myexperiment.org/tags/555, http://www.myexperiment.org/tags/178, http://www.myexperiment.org/tags/1158, http://www.myexperiment.org/tags/2007, http://www.myexperiment.org/tags/2996, http://www.myexperiment.org/tags/275, http://www.myexperiment.org/tags/935, http://www.myexperiment.org/tags/662, http://www.myexperiment.org/tags/1122, http://www.myexperiment.org/tags/366, http://www.myexperiment.org/tags/368, http://www.myexperiment.org/tags/377, http://www.myexperiment.org/tags/402, http://www.myexperiment.org/tags/409, http://www.myexperiment.org/tags/455, http://www.myexperiment.org/tags/663, http://www.myexperiment.org/tags/498, http://www.myexperiment.org/tags/554, ","benchmarks, bio2rdf, bioinformatics, BLAST, cheminformatics, data integration, ebi, example, gene, graph, impact, ist600, kegg, localworker, mygrid, ondex, pathway, pathways, phenotype, protein, pubmed, sequence, taverna, text mining, workflow, ",PC1 mockup part B,http://www.myexperiment.org/packs/129,http://www.myexperiment.org/files/404/statistics,22,27,5,0,5,15,2,13,17,12,51:47.9
